Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2001:Q1,pct60to80,7181394,8876194,2901384,707780,913923,2618214,412837,1322056,1694800,1194842,471471,28487
2001:Q1,pct40to60,4130182,5164665,1709107,467992,444798,1444164,256449,842156,1034483,653481,360309,20693
2001:Q1,pct20to40,2900540,3446159,1283292,352751,232250,744236,195267,638363,545619,296492,237190,11937
2001:Q1,pct00to20,1208537,1436806,592123,159299,110439,212744,84013,278187,228269,114399,107002,6868
2001:Q2,pct99to100,8135780,8602965,1403465,360691,2569361,620614,1640531,2008303,467185,317162,63760,86263
2001:Q2,pct80to99,19373062,22549262,5876373,1221665,4165730,5365174,2532382,3387938,3176200,2408006,525183,243011
2001:Q2,pct60to80,7388300,9129344,2966346,715079,978912,2728920,425945,1314142,1741044,1238063,477300,25681
2001:Q2,pct40to60,4184787,5250707,1748463,466705,480871,1450894,252957,850817,1065920,679814,364293,21813
2001:Q2,pct20to40,2928076,3483654,1322422,357383,242591,750323,195516,615419,555578,302876,240726,11976
2001:Q2,pct00to20,1209493,1445274,619562,157255,122230,206668,74577,264981,235781,116280,112986,6515
2001:Q3,pct99to100,7605924,8122733,1420373,358522,1974257,582002,1673755,2113823,516810,329003,69127,118680
2001:Q3,pct80to99,19069286,22383324,6015069,1234051,3605318,5441279,2571385,3516222,3314038,2490586,531641,291811
2001:Q3,pct60to80,7228075,8989406,3038178,719288,832019,2608666,430377,1360877,1761331,1257702,481219,22410
2001:Q3,pct40to60,4162194,5248407,1797504,477113,445495,1384425,250450,893420,1086213,698122,370061,18030
2001:Q3,pct20to40,2911916,3484833,1372217,360194,209716,737852,191377,613477,572917,311488,248179,13250
2001:Q3,pct00to20,1230475,1471803,659956,162145,116072,191978,72446,269206,241328,123601,114124,3603
2001:Q4,pct99to100,8074341,8559600,1514619,377229,2367045,596474,1706366,1997867,485259,337851,64612,82796
2001:Q4,pct80to99,19562512,22875155,6160232,1242656,3991502,5502241,2477649,3500875,3312643,2511585,555426,245632
2001:Q4,pct60to80,7681682,9523338,3111408,735379,916425,2809900,466902,1483325,1841656,1310163,509162,22331
2001:Q4,pct40to60,4251220,5389320,1852103,484544,487523,1420968,259603,884579,1138100,728266,385916,23918
2001:Q4,pct20to40,2950393,3540650,1371622,360864,224396,726296,208237,649235,590257,319987,258905,11365
2001:Q4,pct00to20,1242073,1483998,645333,163588,127730,185244,73959,288144,241925,117084,117806,7035
2002:Q1,pct99to100,8268491,8769255,1619049,393482,2433614,609197,1717553,1996360,500764,355193,62591,82980
2002:Q1,pct80to99,19743740,23110442,6330871,1241583,3959608,5586507,2438548,3553325,3366703,2570501,554645,241557
2002:Q1,pct60to80,7870498,9722399,3186582,745367,912957,2892259,490868,1494366,1851901,1329161,501816,20924
2002:Q1,pct40to60,4328779,5489695,1905371,491222,490179,1451152,269801,881970,1160916,749147,386732,25037
2002:Q1,pct20to40,2936374,3540203,1367697,359532,220028,721722,221750,649475,603829,335141,257871,10817
2002:Q1,pct00to20,1226050,1477231,626699,167086,128269,183203,84312,287662,251181,123264,119860,8057
2002:Q2,pct99to100,8171018,8676715,1708874,406527,2173846,585705,1736699,2065064,505698,373660,61142,70896
2002:Q2,pct80to99,19552196,22982022,6482486,1239588,3576794,5595995,2409291,3677868,3429826,2643809,562922,223095
2002:Q2,pct60to80,7675414,9569373,3243365,754953,825234,2823152,516439,1406230,1893959,1363609,511826,18524
2002:Q2,pct40to60,4327636,5528633,1957263,506205,463749,1421427,281365,898625,1200997,777125,396497,27375
2002:Q2,pct20to40,2846393,3472749,1367631,358782,198889,696108,236578,614761,626356,351428,265296,9632
2002:Q2,pct00to20,1195199,1454676,625788,176919,121517,171799,96602,262051,259478,129498,119961,10019
2002:Q3,pct99to100,7725103,8234944,1748787,407661,1691284,558457,1766055,2062700,509842,390980,57744,61118
2002:Q3,pct80to99,18951130,22451497,6561498,1247948,2942899,5613968,2388530,3696654,3500367,2716454,574890,209023
2002:Q3,pct60to80,7576504,9531634,3309807,767628,676273,2740855,542200,1494870,1955131,1414879,521703,18549
2002:Q3,pct40to60,4330973,5577574,2040278,528315,411951,1384368,292168,920494,1246601,811569,404366,30666
2002:Q3,pct20to40,2838066,3483268,1405273,355428,165302,666783,249500,640982,645203,366966,269464,8773
2002:Q3,pct00to20,1257740,1526656,683526,183788,108414,158624,107612,284692,268916,132773,123442,12701
2002:Q4,pct99to100,7717255,8241006,1809398,416127,1874843,575444,1519710,2045485,523751,408871,55134,59746
2002:Q4,pct80to99,19161245,22746853,6661800,1257223,3067835,5685675,2330945,3743375,3585607,2791936,588250,205421
2002:Q4,pct60to80,7919227,9937116,3389442,781290,705957,2887306,544491,1628630,2017889,1464851,536174,16864
2002:Q4,pct40to60,4478387,5771280,2117041,537487,431685,1421448,337949,925669,1292893,845762,415167,31964
2002:Q4,pct20to40,2892119,3560053,1431721,352086,168233,658054,266276,683682,667934,382956,276807,8171
2002:Q4,pct00to20,1405585,1681022,711577,181991,113731,154688,209640,309395,275436,136750,125476,13210
2003:Q1,pct99to100,7832474,8375968,1921564,432809,1780236,580323,1603351,2057685,543494,425228,50558,67708
2003:Q1,pct80to99,19189687,22849957,6843175,1250700,2862721,5706038,2392035,3795287,3660269,2855356,592660,212253
2003:Q1,pct60to80,7977721,10033727,3463115,788201,661274,2931842,561790,1627504,2056006,1510672,529004,16330
2003:Q1,pct40to60,4518534,5841560,2165778,542130,418117,1444248,341283,930004,1323025,877331,413408,32286
2003:Q1,pct20to40,2848696,3525340,1422685,349870,155757,654872,259408,682749,676644,397600,271385,7659
2003:Q1,pct00to20,1369611,1654435,684134,185883,110123,153350,212083,308862,284824,139145,132108,13571
2003:Q2,pct99to100,8556516,9168949,2015017,448948,2277204,620246,1672098,2135436,612433,447056,47617,117760
2003:Q2,pct80to99,19720162,23556716,6995616,1256906,3268181,5781884,2375003,3879127,3836555,2961011,603850,271694
2003:Q2,pct60to80,8353641,10478600,3548676,801779,766463,3122049,593456,1646177,2124959,1572854,538304,13801
2003:Q2,pct40to60,4669664,6034807,2230612,546160,462329,1522581,349287,923838,1365143,918892,421228,25023
2003:Q2,pct20to40,2878364,3579303,1430700,348271,172077,667834,274188,686232,700939,417061,275729,8149
2003:Q2,pct00to20,1371981,1661067,678654,184030,120882,160066,212909,304526,289086,146625,135203,7258
2003:Q3,pct99to100,8913151,9535367,2072321,455067,2512052,632404,1758613,2104909,622216,469907,46408,105901
2003:Q3,pct80to99,19838119,23773366,7101433,1269515,3388104,5808450,2348980,3856884,3935247,3068842,612797,253608
2003:Q3,pct60to80,8596251,10778269,3638327,817109,800076,3219943,629625,1673190,2182018,1620452,549547,12019
2003:Q3,pct40to60,4765603,6180222,2316754,559859,480052,1556851,356167,910539,1414619,954700,431845,28074
2003:Q3,pct20to40,2902165,3630732,1465735,345336,173991,664808,289707,691155,728567,437200,283964,7403
2003:Q3,pct00to20,1403523,1705073,717520,183985,125242,158865,209191,310270,301550,156764,135113,9673
2003:Q4,pct99to100,9565817,10191923,2118282,467811,2984832,669764,1811882,2139352,626106,487747,43302,95057
2003:Q4,pct80to99,20326193,24335746,7235914,1281793,3696683,5890206,2317843,3913307,4009552,3145453,627037,237062
2003:Q4,pct60to80,9017869,11280334,3697465,833523,884628,3403068,659736,1801914,2262464,1676951,562953,22560
2003:Q4,pct40to60,4911486,6381580,2399541,568321,511525,1628829,363701,909663,1470095,991680,441454,36961
2003:Q4,pct20to40,2987729,3739015,1505909,343918,184044,672856,304291,727997,751285,453274,289666,8345
2003:Q4,pct00to20,1496458,1809744,791431,182300,132548,163597,210340,329528,313286,159769,138520,14997
2004:Q1,pct99to100,10545248,11196572,2275031,482923,3269156,687826,1903866,2577770,651324,505163,39845,106316
2004:Q1,pct80to99,21182171,25273591,7530886,1291981,3810643,5999233,2383575,4257273,4091421,3213947,629792,247682
2004:Q1,pct60to80,9426903,11721082,3868439,850118,921904,3502034,676802,1901786,2294180,1716645,556477,21058
2004:Q1,pct40to60,5094593,6592998,2493881,581571,526241,1665034,365599,960672,1498405,1021200,440875,36330
2004:Q1,pct20to40,2975329,3738275,1517193,344484,184951,666706,294638,730302,762946,468802,286173,7971
2004:Q1,pct00to20,1481005,1802392,758181,186679,135679,161459,211042,349351,321386,163942,143311,14133
2004:Q2,pct99to100,10763786,11446915,2338266,485863,3299145,703784,2089196,2530661,683129,528584,37221,117324
2004:Q2,pct80to99,21283533,25508226,7699803,1311475,3696586,6083909,2477402,4239051,4224693,3330209,636893,257591
2004:Q2,pct60to80,9622046,11977588,3997999,868797,901992,3595876,711722,1901201,2355542,1775813,559824,19905
2004:Q2,pct40to60,5200966,6745200,2610323,599997,523860,1698323,368641,944056,1544234,1062317,446002,35915
2004:Q2,pct20to40,2993788,3779387,1575616,342042,175846,658773,290809,736302,785599,489684,288372,7543
2004:Q2,pct00to20,1519951,1853529,826466,186937,134734,158847,204524,342021,333578,173633,146228,13717
2004:Q3,pct99to100,11267956,11961160,2454843,501425,3405372,720541,2264844,2614135,693205,549384,34931,108890
2004:Q3,pct80to99,21685954,26011663,8018477,1309464,3608452,6189294,2600374,4285602,4325709,3428889,651360,245460
2004:Q3,pct60to80,9771912,12199074,4110308,878260,898125,3639827,742798,1929755,2427162,1836131,575974,15057
2004:Q3,pct40to60,5291919,6889353,2705447,607358,520302,1729593,374940,951714,1597434,1102610,457796,37028
2004:Q3,pct20to40,2991843,3802940,1607608,340352,168561,652765,287916,745738,811098,508441,296613,6044
2004:Q3,pct00to20,1568666,1911545,876392,190979,132521,158101,206852,346699,342879,179949,148201,14729
2004:Q4,pct99to100,11928099,12659976,2520999,500643,3755291,786343,2368232,2728468,731877,555723,36812,139342
2004:Q4,pct80to99,22492209,26993318,8372755,1339912,3876699,6442439,2694389,4267125,4501110,3555655,665881,279574
2004:Q4,pct60to80,10166640,12698199,4279187,895901,975817,3711570,757861,2077863,2531560,1912569,602542,16449
2004:Q4,pct40to60,5422305,7048067,2766094,619027,530673,1785951,377082,969240,1625761,1130156,465369,30236
2004:Q4,pct20to40,3119166,3945171,1643095,349688,184564,680777,286840,800207,826005,514660,304526,6819
2004:Q4,pct00to20,1664186,2009687,898569,193001,139284,172673,214931,391230,345501,190387,144988,10126
2005:Q1,pct99to100,12144807,12869427,2596289,501055,3767353,814506,2412514,2777710,724620,555754,33426,135440
