Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1992:Q2,Bottom50,4,7.7,13.1,21.1,1.6,4,1.8,5.4,30.5,26,49.9,14.9
1992:Q3,Top1,24.1,21.3,11.6,12.5,43,10.1,45.1,25.5,4.1,3.6,1.3,23.1
1992:Q3,Next9,35.4,33.2,27.8,23,36,39,34.7,36.3,19.6,21.6,9.4,34.1
1992:Q3,Next40,36.2,37.5,46.7,43.2,19.5,47,18.4,32.7,45.7,48.8,38.8,28.6
1992:Q3,Bottom50,4.3,7.9,13.9,21.2,1.6,3.9,1.8,5.4,30.6,26,50.6,14.1
1992:Q4,Top1,24.6,21.7,11.4,12.7,44.3,9.5,45.9,26.2,4.1,3.7,1.2,23.2
1992:Q4,Next9,35.2,33,27.5,22.8,35.5,39.5,33.6,35.7,19.3,21.3,9.2,31.9
1992:Q4,Next40,36.1,37.4,47,43,18.7,47.1,18.8,32.6,45.3,48.3,38.6,28.9
1992:Q4,Bottom50,4.1,7.9,14.1,21.5,1.5,3.9,1.8,5.4,31.3,26.6,51,16
1993:Q1,Top1,25.2,22.4,11.7,13.8,45,9.6,46.9,27.1,4.3,3.8,1.5,21.9
1993:Q1,Next9,35,32.8,27.8,21.5,35.2,39.4,32.9,35.3,19.2,21.2,9,31.3
1993:Q1,Next40,36,37.2,47.3,42.8,18.3,47.1,18.5,32.2,44.9,48,38.1,28.4
1993:Q1,Bottom50,3.8,7.7,13.3,21.9,1.5,4,1.7,5.5,31.7,27,51.4,18.5
1993:Q2,Top1,25.4,22.5,11.4,13.8,45.5,9.4,47.5,27.7,4.3,3.9,1.6,22
1993:Q2,Next9,34.7,32.5,27.5,21.5,34.9,39.5,32.3,34.7,18.8,20.9,8.8,29.1
1993:Q2,Next40,36,37.2,47.3,42.6,18.1,47.1,18.5,32,44.5,47.5,37.8,28.7
1993:Q2,Bottom50,3.9,7.8,13.7,22.2,1.5,3.9,1.7,5.5,32.3,27.7,51.8,20.2
1993:Q3,Top1,25.7,22.7,11.2,13.7,46.2,9.2,48.2,28.3,4.3,4,1.6,20.4
1993:Q3,Next9,34.5,32.3,27.2,21.5,34.6,39.7,31.8,34.2,18.4,20.4,8.6,29.1
1993:Q3,Next40,35.9,37,47.4,42.4,17.7,47.1,18.3,31.9,44.1,47.2,37.6,28
1993:Q3,Bottom50,3.9,8,14.3,22.4,1.5,4,1.7,5.6,33.1,28.5,52.2,22.5
1993:Q4,Top1,26.1,23,11.1,13.8,46.8,8.9,48.9,29.1,4.3,4,1.4,19.4
1993:Q4,Next9,34.4,32.1,27,21.2,34.4,40,31.4,33.4,18.1,20.1,8.4,28.6
1993:Q4,Next40,35.8,36.9,47.5,42.2,17.4,47.2,18.1,31.9,43.8,46.8,37.6,27.5
1993:Q4,Bottom50,3.8,8,14.4,22.7,1.5,3.9,1.7,5.6,33.9,29,52.5,24.5
1994:Q1,Top1,26.4,23.3,11.1,14.4,46.9,8.6,49.8,30.5,4.4,4.1,1.7,19.5
1994:Q1,Next9,34.3,32,27.1,20.4,34.2,40.4,30.9,33,17.6,19.7,8.3,26.7
1994:Q1,Next40,35.7,36.8,47.7,42.1,17.4,47.1,17.7,31,43.5,46.5,37.1,27.8
1994:Q1,Bottom50,3.6,7.9,14,23.1,1.5,3.9,1.6,5.5,34.5,29.7,52.9,26.1
1994:Q2,Top1,26.7,23.6,11,14.6,47.7,8.7,50.7,31.3,4.4,4.2,1.5,19.4
1994:Q2,Next9,34.1,31.7,27,20.1,33.8,40.7,30.3,32.2,17.3,19.5,8.1,24.9
1994:Q2,Next40,35.6,36.7,47.9,42,16.9,46.7,17.5,30.9,43.2,46.1,37.1,28
1994:Q2,Bottom50,3.6,8,14.1,23.3,1.6,3.9,1.6,5.6,35.1,30.2,53.2,27.7
1994:Q3,Top1,26.9,23.7,10.8,14.5,48.4,8.7,51,31.9,4.4,4.2,1.4,19.6
1994:Q3,Next9,33.9,31.5,26.6,20.2,33.6,40.9,30.2,31.6,17,19.3,8,22.7
1994:Q3,Next40,35.5,36.6,48.1,41.8,16.5,46.5,17.1,30.8,42.9,45.7,37.2,28.4
1994:Q3,Bottom50,3.6,8.2,14.6,23.5,1.6,4,1.7,5.7,35.7,30.7,53.5,29.3
1994:Q4,Top1,27.4,24.1,10.7,14.5,49.1,8.3,51.7,33.1,4.3,4.3,1.1,18.2
1994:Q4,Next9,33.7,31.3,26.2,20,33.3,41.4,29.8,30.9,16.8,19.2,7.8,23
1994:Q4,Next40,35.4,36.5,48.5,41.7,16,46.2,16.8,30.3,42.5,45.3,37.4,27.8
1994:Q4,Bottom50,3.4,8.2,14.6,23.7,1.6,4,1.7,5.7,36.4,31.2,53.7,31
1995:Q1,Top1,27.9,24.5,10.6,14.7,50,8.6,52.4,33.6,4.4,4.4,1.2,18.8
1995:Q1,Next9,33.5,31.1,26,19.8,33,41.2,29.5,30.5,16.4,18.9,7.7,20.3
1995:Q1,Next40,35.2,36.2,48.6,41.5,15.4,46,16.5,30.2,42.3,45,37.1,28.5
