"0126C1280","totalt ålder",9
"0126C1290","totalt ålder",4
"0126C1300","totalt ålder",20
"0126C1310","totalt ålder",7
"0126C1320","totalt ålder",14
"0126C1330","totalt ålder",4
"0126C1340","totalt ålder",11
"0126C1350","totalt ålder",4
"0126C1360","totalt ålder",2
"0126C1370","totalt ålder",15
"0126C1380","totalt ålder",2
"0126C1390","totalt ålder",1
"0126C1400","totalt ålder",4
"0126C1410","totalt ålder",6
"0126C1420","totalt ålder",36
"0126C1430","totalt ålder",4
"0126C1440","totalt ålder",4
"0126C1450","totalt ålder",3
"0126C1460","totalt ålder",3
"0126C1470","totalt ålder",3
"0126C1480","totalt ålder",3
"0126C1490","totalt ålder",27
"0126C1500","totalt ålder",5
"0126C1510","totalt ålder",32
"0126C1520","totalt ålder",45
"0126C1530","totalt ålder",8
"0126C1540","totalt ålder",37
"0126C1550","totalt ålder",24
"0126C1560","totalt ålder",7
"0126C1570","totalt ålder",9
"0126C1580","totalt ålder",4
"0126C1590","totalt ålder",7
"0127A0010","totalt ålder",10
"0127A0020","totalt ålder",16
"0127C1010","totalt ålder",6
"0127C1020","totalt ålder",10
"0127C1030","totalt ålder",8
"0127C1040","totalt ålder",6
"0127C1050","totalt ålder",10
"0127C1060","totalt ålder",4
"0127C1070","totalt ålder",8
"0127C1080","totalt ålder",23
"0127C1090","totalt ålder",31
"0127C1100","totalt ålder",17
"0127C1110","totalt ålder",33
"0127C1120","totalt ålder",5
"0127C1130","totalt ålder",5
"0127C1140","totalt ålder",6
"0127C1150","totalt ålder",9
"0127C1160","totalt ålder",29
"0127C1170","totalt ålder",7
"0127C1180","totalt ålder",15
"0127C1190","totalt ålder",7
"0127C1200","totalt ålder",7
"0127C1210","totalt ålder",9
"0127C1220","totalt ålder",11
"0127C1230","totalt ålder",4
"0127C1240","totalt ålder",6
"0127C1250","totalt ålder",5
"0127C1260","totalt ålder",4
"0127C1270","totalt ålder",24
"0127C1280","totalt ålder",20
"0127C1290","totalt ålder",35
"0127C1300","totalt ålder",34
"0127C1310","totalt ålder",39
"0127C1320","totalt ålder",28
"0127C1330","totalt ålder",18
"0127C1340","totalt ålder",31
"0127C1350","totalt ålder",30
"0127C1360","totalt ålder",30
"0127C1370","totalt ålder",29
"0127C1380","totalt ålder",34
"0127C1390","totalt ålder",37
"0127C1400","totalt ålder",27
"0127C1410","totalt ålder",36
"0127C1420","totalt ålder",39
"0127C1430","totalt ålder",17
"0127C1440","totalt ålder",38
"0127C1450","totalt ålder",12
"0127C1460","totalt ålder",13
"0127C1470","totalt ålder",38
"0127C1480","totalt ålder",11
"0128A0010","totalt ålder",5
"0128C1010","totalt ålder",3
"0128C1020","totalt ålder",5
"0128C1030","totalt ålder",18
"0128C1040","totalt ålder",7
"0128C1050","totalt ålder",10
"0128C1060","totalt ålder",8
"0128C1070","totalt ålder",11
"0136A0010","totalt ålder",8
"0136A0020","totalt ålder",9
"0136A0030","totalt ålder",8
"0136B2010","totalt ålder",6
"0136C1010","totalt ålder",8
"0136C1020","totalt ålder",10
"0136C1030","totalt ålder",9
"0136C1040","totalt ålder",5
"0136C1050","totalt ålder",12
"0136C1060","totalt ålder",4
"0136C1070","totalt ålder",17
"0136C1080","totalt ålder",7
"0136C1090","totalt ålder",33
"0136C1100","totalt ålder",29
"0136C1110","totalt ålder",15
"0136C1120","totalt ålder",39
"0136C1130","totalt ålder",30
"0136C1140","totalt ålder",10
"0136C1150","totalt ålder",7
"0136C1160","totalt ålder",13
"0136C1170","totalt ålder",17
"0136C1180","totalt ålder",13
"0136C1190","totalt ålder",11
"0136C1200","totalt ålder",15
"0136C1210","totalt ålder",13
"0136C1220","totalt ålder",15
"0136C1230","totalt ålder",19
"0136C1240","totalt ålder",21
"0136C1250","totalt ålder",16
"0136C1260","totalt ålder",26
"0136C1270","totalt ålder",25
"0136C1280","totalt ålder",23
"0136C1290","totalt ålder",14
"0136C1300","totalt ålder",2
"0136C1310","totalt ålder",7
"0136C1320","totalt ålder",11
"0136C1330","totalt ålder",7
"0136C1340","totalt ålder",8
"0136C1350","totalt ålder",1
"0136C1360","totalt ålder",4
"0136C1370","totalt ålder",4
"0136C1380","totalt ålder",6
"0136C1390","totalt ålder",10
"0136C1400","totalt ålder",3
"0136C1410","totalt ålder",3
"0136C1420","totalt ålder",3
"0136C1430","totalt ålder",3
"0136C1440","totalt ålder",3
"0136C1450","totalt ålder",8
"0138A0010","totalt ålder",4
"0138C1010","totalt ålder",3
"0138C1020","totalt ålder",3
"0138C1030","totalt ålder",4
"0138C1040","totalt ålder",4
"0138C1050","totalt ålder",10
"0138C1060","totalt ålder",6
"0138C1070","totalt ålder",6
"0138C1080","totalt ålder",14
"0138C1090","totalt ålder",9
"0138C1100","totalt ålder",4
"0138C1110","totalt ålder",4
"0138C1120","totalt ålder",35
"0138C1130","totalt ålder",15
"0138C1140","totalt ålder",1
"0138C1150","totalt ålder",15
"0138C1160","totalt ålder",8
"0138C1170","totalt ålder",8
"0138C1180","totalt ålder",9
"0138C1190","totalt ålder",3
"0138C1200","totalt ålder",13
"0138C1210","totalt ålder",11
"0138C1220","totalt ålder",3
"0138C1230","totalt ålder",5
"0138C1240","totalt ålder",3
"0138C1250","totalt ålder",3
"0139A0010","totalt ålder",7
"0139A0020","totalt ålder",6
"0139B2010","totalt ålder",7
"0139B2020","totalt ålder",27
"0139B2030","totalt ålder",40
"0139B2040","totalt ålder",17
"0139B2050","totalt ålder",26
"0139B2060","totalt ålder",7
"0139C1010","totalt ålder",14
"0139C1020","totalt ålder",14
"0139C1030","totalt ålder",4
"0139C1040","totalt ålder",18
"0139C1050","totalt ålder",9
"0139C1060","totalt ålder",10
"0139C1070","totalt ålder",3
"0140A0010","totalt ålder",4
"0140A0020","totalt ålder",6
"0140C1010","totalt ålder",6
"0140C1020","totalt ålder",9
"0140C1030","totalt ålder",2
"0140C1040","totalt ålder",7
"0160C1010","totalt ålder",3
"0160C1020","totalt ålder",2
"0160C1030","totalt ålder",4
"0160C1040","totalt ålder",1
"0160C1050","totalt ålder",8
"0160C1060","totalt ålder",10
"0160C1070","totalt ålder",4
"0160C1080","totalt ålder",12
"0160C1090","totalt ålder",11
"0160C1100","totalt ålder",10
"0160C1110","totalt ålder",1
"0160C1120","totalt ålder",2
"0160C1130","totalt ålder",1
"0160C1140","totalt ålder",8
"0160C1150","totalt ålder",11
"0160C1160","totalt ålder",9
"0160C1170","totalt ålder",2
"0160C1180","totalt ålder",2
"0160C1190","totalt ålder",9
"0160C1200","totalt ålder",10
