RefNo,Name,COUNTRY,REGION,Constituency/District,Year First Elected/Appointed,Out/Not Out (When First Elected),Year Out,Year Leaving Office,LGBTQ,Gender Identity,Party Affiliation,Party Ideology Family,Legislative Body,Level of Government,Position,Biography/Website,Elected/Appointed,City,State,Age,Current,Source,Race/Ethnicity
174,Aziza Lake,Antigua & Barbuda,North America,#N/A,2017,#N/A,#N/A,#N/A,Queer,#N/A,Labour Party,Left,Antigua & Barbuda Senate,Parliament,,#N/A,Appointed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
186,Osvaldo López,Argentina,South America,Tierra del Fuego,2011,#N/A,#N/A,#N/A,Gay,#N/A,New Encounter,Left,Argentinian Senate,Parliament,,#N/A,Appointed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
572,Analuz Carol,Argentina,South America,Tierra del Fuego,2015,Out,2015,#N/A,Lesbian,#N/A,Front for Victory,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
573,Leo Grosso,Argentina,South America,Buenos Aires,2011,Not Out,2018,#N/A,Gay,#N/A,Evita Movement,Left,MP,Parliament,,https://leonardogrosso.org/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1,Desiree Croes,Aruba,North America,#N/A,2011,Out,2011,#N/A,Queer,#N/A,Aruban People's Party,Center Right,Aruba Senate,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,Paul O'Grady,Australia,Australasia,New South Wales,1988,Not Out,1990,1996,Gay,#N/A,Labor Party,Left,New South Wales legislative Assembly,State Legislature,,#N/A,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
3,Michael Egan,Australia,Australasia,New South Wales,1986,Out,1986,2005,Gay,#N/A,Labor Party,Left,New South Wales legislative Assembly,State Legislature,,#N/A,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
4,Louise Pratt,Australia,Australasia,Western Australia,2001,Out,2001,2007,Lesbian,#N/A,Labour Party,Left,Parliament of Western Australia,State Legislature,,https://www.louisepratt.com/,#N/A,#N/A,Western Australi,#N/A,#N/A,#N/A,#N/A
5,Giz Watson,Australia,Australasia,Western Australia,1997,Out,1997,2013,Lesbian,#N/A,Green Party,Green,Parliament of Western Australia,State Legislature,,#N/A,#N/A,#N/A,Western Australi,#N/A,#N/A,#N/A,#N/A
6,Helen Westwood,Australia,Australasia,New South Wales,2007,Out,2007,2015,Lesbian,#N/A,Labor Party,Left,New South Wales legislative Assembly,State Legislature,,#N/A,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
7,Penny Sharpe,Australia,Australasia,New South Wales,2005,Out,2005,#N/A,Lesbian,#N/A,Labor Party,Left,New South Wales legislative Assembly,State Legislature,,#N/A,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
8,Don Harwin,Australia,Australasia,New South Wales,2011,Not Out,2014,#N/A,Gay,#N/A,Liberal Party,Center Right,New South Wales legislative Assembly,State Legislature,,http://www.donharwin.com.au/about.html,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
9,Shayne Mallard,Australia,Australasia,New South Wales,2015,Out,2015,#N/A,Gay,#N/A,Liberal Party,Center Right,New South Wales legislative Assembly,State Legislature,,http://www.shaynemallard.com.au/,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
10,Lynn MacLaren,Australia,Australasia,Western Australia - South Metropolitan Region,2005,Out,2005,#N/A,Lesbian,#N/A,Green Party,Green,Parliament of Western Australia,State Legislature,,#N/A,#N/A,#N/A,Western Australi,#N/A,#N/A,#N/A,#N/A
11,Stephen Dawson,Australia,Australasia,Western Australia,2013,Out,2013,#N/A,Gay,#N/A,Labor Party,Left,Parliament of Western Australia,State Legislature,,"https://www.parliament.wa.gov.au/Parliament/Memblist.nsf/WAllMembersFlat/Dawson,%20Stephen%20Noel?opendocument",#N/A,#N/A,Western Australi,#N/A,#N/A,#N/A,#N/A
12,Michael Egan,Australia,Australasia,New South Wales,1978,Out,1978,1984,Gay,#N/A,Liberal Party,Center Right,New South Wales legislative Assembly,State Legislature,,#N/A,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
13,Tony Doyle,Australia,Australasia,New South Wales,1985,Out,1985,1994,Gay,#N/A,Independent,Independent,New South Wales legislative Assembly,State Legislature,,#N/A,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
14,David Campbell,Australia,Australasia,New South Wales,1999,Not Out,1994,2011,Gay,#N/A,Labor Party,Left,New South Wales legislative Assembly,State Legislature,,#N/A,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
15,John Hyde,Australia,Australasia,Western Australia - Perth,2001,Out,2001,2013,Gay,#N/A,Labor Party,Left,Parliament of Western Australia,State Legislature,,#N/A,#N/A,#N/A,Western Australi,#N/A,#N/A,#N/A,#N/A
16,Mark Pearson,Australia,Australasia,New South Wales,2015,Out,2015,#N/A,Gay,#N/A,Animal Justice,Other,New South Wales legislative Assembly,State Legislature,,https://markpearson.org.au/,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
17,Bruce Notley-Smith,Australia,Australasia,New South Wales,2011,Not Out,2010,#N/A,Gay,#N/A,Liberal Party,Left,New South Wales legislative Assembly,State Legislature,,https://campaign.notleysmith.com.au/,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
18,Alex Greenwich,Australia,Australasia,New South Wales,2012,Out,2012,#N/A,Gay,#N/A,Independent,Independent,New South Wales legislative Assembly,State Legislature,,https://www.alexgreenwich.com/,#N/A,#N/A,New South Wales,#N/A,#N/A,#N/A,#N/A
19,Lisa Baker,Australia,Australasia,Western Australia - Maylands,2008,Out,2008,#N/A,Lesbian,#N/A,Labor Party,Left,Parliament of Western Australia,State Legislature,,https://maylands.walabor.org.au/,#N/A,#N/A,Western Australi,#N/A,#N/A,#N/A,#N/A
20,John Carey,Australia,Australasia,Western Australia - Perth,2017,Out,2017,#N/A,Gay,#N/A,Labor Party,Left,Parliament of Western Australia,State Legislature,,#N/A,#N/A,#N/A,Western Australi,#N/A,#N/A,#N/A,#N/A
21,Bob Brown,Australia,Australasia,Tasmania,1983,Out,1983,1993,Gay,#N/A,Green Party,Green,Tasmanian Parliament,State Legislature,,https://www.bobbrown.org.au/,#N/A,#N/A,Tasmania,#N/A,#N/A,#N/A,#N/A
22,Andrew Olexander,Australia,Australasia,Victoria - Silvan Province,1999,Out,1999,2006,Gay,#N/A,Liberal Party,Center Right,Parliament of Victoria,State Legislature,,#N/A,#N/A,#N/A,Victoria,#N/A,#N/A,#N/A,#N/A
23,Alison Standen,Australia,Australasia,Tasmania,2018,Out,2018,2018,Lesbian,#N/A,Labor Party,Left,Tasmanian Parliament,State Legislature,,https://taslabor.com/people/alison-standen/,#N/A,#N/A,Tasmania,#N/A,#N/A,#N/A,#N/A
24,Harriet Shing,Australia,Australasia,Victoria - Eastern Victoria Province,2014,Out,2014,#N/A,Lesbian,#N/A,Labor Party,Left,Parliament of Victoria,State Legislature,,https://www.harrietshing.com.au/,#N/A,#N/A,Victoria,#N/A,#N/A,#N/A,#N/A
25,Steve Dimopoulos,Australia,Australasia,Victoria - Oakleigh,2014,Out,2014,#N/A,Gay,#N/A,Labor Party,Left,Parliament of Victoria,State Legislature,,http://stevedimopoulos.com.au/,#N/A,#N/A,Victoria,#N/A,#N/A,#N/A,#N/A
26,Fiona Patten,Australia,Australasia,Victoria - Northern Metropolitan,2014,Out,2014,#N/A,Queer,#N/A,Independent,Independent,Parliament of Victoria,State Legislature,,https://fionapatten.com.au/,#N/A,#N/A,Victoria,#N/A,#N/A,#N/A,#N/A
27,Ian Hunter,Australia,Australasia,South Australia,2006,Out,2006,#N/A,Gay,#N/A,Labor Party,Left,South Australian Legislative Assembly,State Legislature,,#N/A,#N/A,#N/A,South Australia,#N/A,#N/A,#N/A,#N/A
28,Kelly Vincent,Australia,Australasia,South Australia,2010,Out,2010,#N/A,Bisexual,#N/A,Dignity,Other,South Australian Legislative Assembly,State Legislature,,http://kellyvincentmlc.com/,#N/A,#N/A,South Australia,#N/A,#N/A,#N/A,#N/A
29,Andrew Barr,Australia,Australasia,ACT Legislature,2006,Out,2006,#N/A,Gay,#N/A,Labor Party,Left,Australian Capitol Territory Legsilature,State Legislature,,https://andrewbarr.com.au/,#N/A,#N/A,ACT,#N/A,#N/A,#N/A,#N/A
30,Chris Steel,Australia,Australasia,ACT Legislature,2016,Out,2016,#N/A,Gay,#N/A,Labor Party,Left,Australian Capitol Territory Legsilature,State Legislature,,https://www.chrissteel.com.au/,#N/A,#N/A,ACT,#N/A,#N/A,#N/A,#N/A
31,Chansey Paech,Australia,Australasia,Northern Territory - Namatjira,2016,Out,2016,#N/A,Gay,#N/A,Labor Party,Left,Legislative Assembly of the Northern Territory,State Legislature,,#N/A,#N/A,#N/A,Northern Territory,#N/A,#N/A,#N/A,#N/A
76,Penny Wong,Australia,Australasia,#N/A,2010,#N/A,#N/A,2013,Lesbian,#N/A,Labor Party,Left,Cabinet Ministers,Executive,Finance and Deregulation,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
86,Penny Wong,Australia,Australasia,#N/A,2007,#N/A,#N/A,2010,Lesbian,#N/A,Labor Party,Left,Cabinet Ministers,Executive,Climate Change,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
175,Bob Brown,Australia,Australasia,Tasmania,1996,#N/A,#N/A,2012,Gay,#N/A,Green Party,Green,Australian Senate,Parliament,,https://www.bobbrown.org.au/,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
176,Brian Greig,Australia,Australasia,Western Australia,1999,#N/A,#N/A,2005,Gay,#N/A,Democratic Party,Left,Australian Senate,Parliament,,#N/A,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
177,Penny Wong,Australia,Australasia,South Australia,2002,#N/A,#N/A,#N/A,Lesbian,#N/A,Labor Party,Left,Australian Senate,Parliament,,https://www.pennywong.com.au/,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
178,Louise Pratt,Australia,Australasia,Western Australia,2008,#N/A,#N/A,#N/A,Lesbian,#N/A,Labor Party,Left,Australian Senate,Parliament,,https://www.louisepratt.com/,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
179,Dean Smith,Australia,Australasia,Western Australia,2012,#N/A,#N/A,#N/A,Gay,#N/A,Liberal Party,Center Right,Australian Senate,Parliament,,http://www.deansmithwa.com.au/,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
180,Janet Rice,Australia,Australasia,Victoria,2014,#N/A,#N/A,#N/A,Lesbian,#N/A,Green Party,Green,Australian Senate,Parliament,,https://janet-rice.greensmps.org.au/,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
181,Robert Simms,Australia,Australasia,Adelaide,2014,#N/A,#N/A,2016,Gay,#N/A,Green Party,Green,Australian Senate,Parliament,,https://robertsimmsonline.com/,Appointed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
293,Daniel Maloney,Australia,Australasia,#N/A,2020,#N/A,#N/A,#N/A,Bisexual,Male,Labor Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Ballarat,Victoria,44,yes,https://www.starobserver.com.au/news/victoria-elects-four-openly-gay-mayors-two-deputies/198841,#N/A
294,Steve Staikos,Australia,Australasia,#N/A,2017,#N/A,#N/A,#N/A,Gay,Woman,Labor Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Kingston,Victoria,#N/A,yes,https://www.starobserver.com.au/news/victoria-elects-four-openly-gay-mayors-two-deputies/198841,#N/A
312,Bruce Notley-Smith,Australia,Australasia,#N/A,2011,#N/A,#N/A,2019,Gay,Male,Independent,Independent,#N/A,Mayor,Mayor,#N/A,#N/A,Randwick,#N/A,56,no,https://www.starobserver.com.au/news/national-news/new-south-wales-news/gays-line-up-for-election/1654,#N/A
346,Tony Briffa,Australia,Australasia,#N/A,2008,#N/A,#N/A,2012,Intersex,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Hobsons bay,#N/A,51,no,https://www.advocate.com/news/daily-news/2011/12/09/intersex-mayor-elected-australia,#N/A
370,John Fowler,Australia,Australasia,#N/A,1989,#N/A,#N/A,2004,Gay,Male,Independent,Independent,#N/A,Mayor,Mayor,#N/A,#N/A,South Sidney,#N/A,66,no,http://www.abc.net.au/am/content/2003/s924083.htm,#N/A
383,Ralph McLean,Australia,Australasia,#N/A,1984,#N/A,#N/A,1985,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Fitzroy,Victoria,Dead,no,https://www.smh.com.au/national/act-of-political-bravery-australias-first-openly-gay-mayor-20110130-1a9pf.html,#N/A
531,Kerryn Phelps,Australia,Australasia,Wentworth,2018,Out,2018,2019,Lesbian,#N/A,Independent,Independent,MP,Parliament,,https://www.drkerrynphelps.com.au/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
561,Trent Zimmerman,Australia,Australasia,North Sydney,2015,Out,2015,#N/A,Gay,#N/A,Liberal Party,Center Right,MP,Parliament,,http://www.trentzimmerman.com.au/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
562,Tim Wilson,Australia,Australasia,Goldstein,2016,Out,2016,#N/A,Gay,#N/A,Liberal Party,Center Right,MP,Parliament,,https://www.timwilsonmp.com.au/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
563,Trevor Evans,Australia,Australasia,Brisbane,2016,Out,2016,#N/A,Gay,#N/A,Liberal Party,Center Right,MP,Parliament,,https://www.trevorevans.com.au/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
564,Julian Hill,Australia,Australasia,Bruce,2016,Out,2016,#N/A,Gay,#N/A,Liberal Party,Center Right,MP,Parliament,,http://www.julianhillmp.com/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
565,Angie Bell,Australia,Australasia,Moncrieff,2019,Out,2019,#N/A,Lesbian,#N/A,Liberal Party,Center Right,MP,Parliament,,aph.gov.au/Senators_and_Members/Parliamentarian,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
156,Ulrike Lunacek,Austria,Western Europe,#N/A,2009,Out,2009,2018,Lesbian,#N/A,Green Party,Green,European Parliament,Multi-State Legislature,,http://www.ulrike-lunacek.eu/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
182,Ewa-Ernst-Dziedzic,Austria,Western Europe,9E - Vienna South West,2015,#N/A,#N/A,#N/A,Lesbian,#N/A,Green Party,Green,Austrian Senate,Parliament,,#N/A,Appointed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
183,Marco Schreuder,Austria,Western Europe,Vienna,2011,#N/A,#N/A,#N/A,Gay,#N/A,Green Party,Green,Austrian Senate,Parliament,,#N/A,Appointed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
184,Mario Lindner,Austria,Western Europe,Liezen,2015,#N/A,#N/A,2017,Gay,#N/A,Social Democratic Party,Left,Austrian Senate,Parliament,,#N/A,Appointed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
185,David Stögmüller,Austria,Western Europe,Braunau am Inn,2015,#N/A,#N/A,2019,Gay,#N/A,Green Party,Green,Austrian Senate,Parliament,,#N/A,Appointed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
438,Ulrike Lunacek,Austria,western Europe,Grüne (Green Party List),1999,Out,1999,2009,Lesbian,#N/A,Green Party,Green,MP,Parliament,,http://www.ulrike-lunacek.eu/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
515,Ewa Ernst-Dziedzic,Austria,western Europe,Vienna,2015,Out,2015,2017,Lesbian,#N/A,Green Party,Green,MP,Parliament,,https://ewaernst.at/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
532,Mario Lindner,Austria,western Europe,FDP List,2017,Out,2017,2019,Gay,#N/A,Socialist Party,Left,MP,Parliament,,https://www.mariolindner.at/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
566,Nico Marchetti,Austria,western Europe,Vienna,2017,Out,2017,#N/A,Gay,#N/A,Austrian People's Party,Radical Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
567,Faika El-Nagashi,Austria,western Europe,Vienna,2019,Out,2019,#N/A,Lesbian,#N/A,Green Party,Green,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
568,Yannick Shetty,Austria,western Europe,Vienna,2019,Out,2019,#N/A,Gay,#N/A,New Austria and Liberal Forum,Center,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
569,Meri Disoski,Austria,western Europe,Vienna,2019,Out,2019,#N/A,Lesbian,#N/A,Green Party,Green,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
570,Martina Kaufmann,Austria,western Europe,Graz,2019,Out,2019,#N/A,Lesbian,#N/A,Austrian People's Party,Radical Right,MP,Parliament,,https://www.martina-kaufmann.at/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
571,David Stögmüller,Austria,western Europe,Braunau am Inn,2019,Out,2019,#N/A,Gay,#N/A,Green Party,Green,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
71,Elio di Rupo,Belgium,Western Europe,#N/A,2011,#N/A,#N/A,2014,Gay,#N/A,Socialist Party,Left,Cabinet Ministers,Executive,Prime Minister,https://eliodirupo.be/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
136,Petra de Sutter,Belgium,Western Europe,#N/A,2019,Out,2019,#N/A,Transgender,Woman,Green Party,Green,European Parliament,Multi-State Legislature,,https://www.petradesutter.be/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
187,Petra de Sutter,Belgium,Western Europe,#N/A,2014,#N/A,#N/A,2019,Transgender,Woman,Green Party,Green,Belgium Senate,Parliament,,https://www.petradesutter.be/,Appointed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
344,Xavier Bettel,Belgium,Western Europe,#N/A,2011,#N/A,#N/A,2013,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Luxembourg City,#N/A,47,no,https://www.reuters.com/article/us-un-assembly-lgbt/luxembourgs-gay-pm-says-everyone-has-a-duty-to-challenge-hate-speech-idUSKBN1WA08L,#N/A
445,Jean-Jacques Flahaux,Belgium,western Europe,Braine-le-Comte,2007,Out,2007,2010,Gay,#N/A,Reform Movement,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
482,Elio Di Rupo,Belgium,western Europe,Mons,1987,Not Out,1996,2014,Gay,#N/A,Socialist Party,Left,MP,Parliament,,https://dirupo.wallonie.be/home.html,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
508,Xavier Baeselen,Belgium,western Europe,Brussels,2008,Out,2008,2016,Gay,#N/A,Reform Movement,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
574,Manuel Canelas,Bolivia,South America,Constituency 5,2015,Out,2015,#N/A,Gay,#N/A,Movement for Socialism,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
188,Fabiano Contarato,Brazil,South America,Espírito Santo,2018,#N/A,#N/A,#N/A,Gay,#N/A,Sustainability,Left,Brazilian Senate,Parliament,,https://www25.senado.leg.br/web/senadores/senador/-/perfil/5953,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
439,Clodovil Hernandes,Brazil,South America,São Paulo,2007,Out,2007,2009,Gay,#N/A,Christian Labor Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
533,Jean Wyllys,Brazil,South America,Rio de Janiero,2011,Out,2011,2019,Gay,#N/A,Socialism and Freedom,Left,MP,Parliament,,https://jeanwyllys.blogosfera.uol.com.br/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
575,Marcelo Calero,Brazil,South America,Rio de Janiero,2018,Out,2018,#N/A,Gay,#N/A,Popular Socialists,Left,MP,Parliament,,https://www.calero.rio/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
576,David Miranda,Brazil,South America,Rio de Janiero,2019,Out,2019,#N/A,Gay,#N/A,Socialist Workers Party,Left,MP,Parliament,,https://davidmirandario.com.br/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1124,Eduardo Leite,Brazil,South America,Rio Grande do Sul,2019,Not Out,2021,#N/A,Gay,#N/A,Social Democracy,Center,Governor,Premiers and Governors,,#N/A,#N/A,#N/A,Rio Grande do Sul,#N/A,#N/A,#N/A,White
100,Scott Brison,Canada,North America,#N/A,2004,#N/A,#N/A,2006,Gay,#N/A,Liberal Party,Center,Cabinet Ministers,Executive,Public Works,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
118,Ted Nebbeling,Canada,North America,British Columbia - West Vancouver-Garibaldi,1996,Out,1996,2005,Gay,#N/A,Liberal Party,Center,Legislative Assembly of British Columbia,State Legislature,,#N/A,#N/A,#N/A,British Columbia,#N/A,#N/A,#N/A,#N/A
119,Tim Stevenson,Canada,North America,British Columbia- Vancouver-Burrard,1996,Out,1996,2001,Gay,#N/A,New Democratic Party,Left,Legislative Assembly of British Columbia,State Legislature,,#N/A,#N/A,#N/A,British Columbia,#N/A,#N/A,#N/A,#N/A
120,Mike Farnworth,Canada,North America,British Columbia - Port Coquitlam,1991,Out,1991,#N/A,Gay,#N/A,New Democratic Party,Left,Legislative Assembly of British Columbia,State Legislature,,#N/A,#N/A,#N/A,British Columbia,#N/A,#N/A,#N/A,#N/A
121,Jenn McGinn,Canada,North America,British Columbia - Vancouver-Fairview,2008,Out,2008,2009,Lesbian,#N/A,New Democratic Party,Left,Legislative Assembly of British Columbia,State Legislature,,#N/A,#N/A,#N/A,British Columbia,#N/A,#N/A,#N/A,#N/A
122,Michael Connolly,Canada,North America,Alberta - Calgary-Hawkwood,2015,Out,2015,#N/A,Gay,#N/A,New Democratic Party,Left,Legislative Assembly of Alberta,State Legislature,,#N/A,#N/A,#N/A,Alberta,#N/A,#N/A,#N/A,#N/A
123,Ricardo Miranda,Canada,North America,Alberta - Calgary-Cross,2015,Out,2015,#N/A,Gay,#N/A,New Democratic Party,Left,Legislative Assembly of Alberta,State Legislature,,#N/A,#N/A,#N/A,Alberta,#N/A,#N/A,#N/A,#N/A
124,Estafania Cortes-Vargas,Canada,North America,Alberta - Strathcona-Sherwood Park,2015,Out,2015,#N/A,Transgender,Non-Binary,New Democratic Party,Left,Legislative Assembly of Alberta,State Legislature,,#N/A,#N/A,#N/A,Alberta,#N/A,#N/A,#N/A,#N/A
125,Jim Rondeau,Canada,North America,Manitoba,1999,Out,1999,2016,Gay,#N/A,New Democratic Party,Left,Legislative Assembly of Manitoba,State Legislature,,#N/A,#N/A,#N/A,Manitoba,#N/A,#N/A,#N/A,#N/A
126,Jennifer Howard,Canada,North America,Manitoba - Fort Rouge,2007,Out,2007,2016,Lesbian,#N/A,New Democratic Party,Left,Legislative Assembly of Manitoba,State Legislature,,#N/A,#N/A,#N/A,Manitoba,#N/A,#N/A,#N/A,#N/A
127,George Smitherman,Canada,North America,Ontario - Toronto Centre,1999,Out,1999,2010,Gay,#N/A,Liberal Party,Center,Legislative Assembly of Ontario,State Legislature,,#N/A,#N/A,#N/A,Ontario,#N/A,#N/A,#N/A,#N/A
128,Kathleen O'Day Wynne,Canada,North America,Ontario - Don Valley West,2003,Out,2003,#N/A,Lesbian,#N/A,Liberal Party,Center,Legislative Assembly of Ontario,State Legislature,,#N/A,#N/A,#N/A,Ontario,#N/A,#N/A,#N/A,#N/A
129,Jill Andrew,Canada,North America,Ontario - Toronto-St. Paul's,2018,Out,2018,#N/A,Queer,#N/A,New Democratic Party,Left,Legislative Assembly of Ontario,State Legislature,,https://www.jillandrewmpp.ca/,#N/A,#N/A,Ontario,#N/A,#N/A,#N/A,#N/A
130,Maurice Richard,Canada,North America,Quebec,1985,Out,1985,1994,Gay,#N/A,Liberal Party,Center,Legislative Assembly of Quebec,State Legislature,,#N/A,#N/A,#N/A,Quebec,#N/A,#N/A,#N/A,#N/A
131,Agnès Maltais,Canada,North America,Quebec - Taschereau,1998,Not Out,2003,#N/A,Lesbian,#N/A,Parti Québécois,Nationalist,Legislative Assembly of Quebec,State Legislature,,#N/A,#N/A,#N/A,Quebec,#N/A,#N/A,#N/A,#N/A
132,Gerry Rogers,Canada,North America,Newfoundland & Labrador - St. John's Centre,2011,Out,2011,#N/A,Gay,#N/A,New Democratic Party,Left,Legislative Assembly of Newfoundland,State Legislature,,#N/A,#N/A,#N/A,Newfoundland,#N/A,#N/A,#N/A,#N/A
133,Joanne Bernard,Canada,North America,Nova Scotia - Dartmouth North,2013,Out,2013,2017,Lesbian,#N/A,Liberal Party,Center,Legislative Assembly of Nova Scotia,State Legislature,,#N/A,#N/A,#N/A,Nova Scotia,#N/A,#N/A,#N/A,#N/A
134,Dale Eftoda,Canada,North America,Yukon - Riverdale North,2000,Out,2000,2002,Gay,#N/A,Liberal Party,Center,Legislative Assembly of Yukon,State Legislature,,#N/A,#N/A,#N/A,Yukon,#N/A,#N/A,#N/A,#N/A
135,Julie Green,Canada,North America,North West Territories - Yellowknife Centre,2015,Out,2015,#N/A,Lesbian,#N/A,Independent,Independent,Legislative Assembly of the NW Territories,State Legislature,,#N/A,#N/A,#N/A,NW Territories,#N/A,#N/A,#N/A,#N/A
189,Laurier La Pierre,Canada,North America,Ontario,2001,#N/A,#N/A,2004,Gay,#N/A,Liberal Party,Center,Canadian Senate,Parliament,,#N/A,Appointed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
190,Nancy Ruth,Canada,North America,"Cluny, Ontario",2005,#N/A,#N/A,2018,Lesbian,#N/A,Conservative Party,Center Right,Canadian Senate,Parliament,,https://sencanada.ca/en/sencaplus/people/meet-senator-nancy-ruth/,Appointed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
286,Jim Watson,Canada,North America,#N/A,2010,#N/A,#N/A,#N/A,Gay,Male,Independent,Independent,#N/A,Mayor,Mayor,#N/A,#N/A,Ontawa,Ontario,59,yes,https://ottawacitizen.com/opinion/columnists/mayor-jim-watson-after-40-years-im-opening-the-closet-door,#N/A
297,Julie Lemieux,Canada,North America,#N/A,2017,#N/A,#N/A,#N/A,Transgender,Woman,Independent,Independent,#N/A,Mayor,Mayor,#N/A,#N/A,Tres-Saint-Redempteur,#N/A,48,yes,https://www.ctvnews.ca/politics/small-quebec-municipality-elects-canada-s-first-openly-transgender-mayor-1.3673643,#N/A
309,Cecil Clarke,Canada,North America,#N/A,2001,#N/A,#N/A,2020,Gay,Male,Progressive Conservative,Center Right,#N/A,Mayor,Mayor,#N/A,#N/A,Nova Scotia,#N/A,52,no,https://www.cbc.ca/news/canada/nova-scotia/cecil-clarke-gay-mayor-cbrm-1.4515244,#N/A
319,Eric Duncan,Canada,North America,#N/A,2010,#N/A,#N/A,2018,Gay,Male,Conservative Party,Center Right,#N/A,Mayor,Mayor,#N/A,#N/A,North Dundas,#N/A,33,no,https://torontosun.com/opinion/columnists/bonokoski-scheer-shuns-conservative-partys-first-openly-gay-mp,#N/A
